
regulon,regulator,regulator locus tag,mode,gene,locus tag
PerR Regulon,PerR,BSU08730,repression,hemA,BSU28170
PerR Regulon,PerR,BSU08730,repression,pfeT,BSU13850
PerR Regulon,PerR,BSU08730,transcription repression,ymaB,BSU17400
PerR Regulon,PerR,BSU08730,repression,hemX,BSU28160
PerR Regulon,PerR,BSU08730,repression,perR,BSU08730
PerR Regulon,PerR,BSU08730,repression,spx,BSU11500
PerR Regulon,PerR,BSU08730,repression,fur,BSU23520
PerR Regulon,PerR,BSU08730,activation,comS,BSU03500
PerR Regulon,PerR,BSU08730,activation,srfAB,BSU03490
PerR Regulon,PerR,BSU08730,repression,hemB,BSU28130
PerR Regulon,PerR,BSU08730,activation,srfAC,BSU03510
PerR Regulon,PerR,BSU08730,repression,katA,BSU08820
PerR Regulon,PerR,BSU08730,repression,mrgA,BSU32990
PerR Regulon,PerR,BSU08730,transcription repression,nrdF,BSU17390
PerR Regulon,PerR,BSU08730,repression,yjbC,BSU11490
PerR Regulon,PerR,BSU08730,transcription repression,nrdE,BSU17380
PerR Regulon,PerR,BSU08730,activation,srfAA,BSU03480
PerR Regulon,PerR,BSU08730,repression,ahpC,BSU40090
PerR Regulon,PerR,BSU08730,activation,srfAD,BSU03520
PerR Regulon,PerR,BSU08730,repression,hemL,BSU28120
PerR Regulon,PerR,BSU08730,repression,hemD,BSU28140
PerR Regulon,PerR,BSU08730,repression,spx,BSU11500
PerR Regulon,PerR,BSU08730,transcription repression,nrdI,BSU17370
PerR Regulon,PerR,BSU08730,repression,ahpF,BSU40100
PerR Regulon,PerR,BSU08730,repression,hemC,BSU28150
SpoVT Regulon,SpoVT,BSU00560,repression,yqjB,BSU23940
SpoVT Regulon,SpoVT,BSU00560,activation,spoIVB,BSU24230
SpoVT Regulon,SpoVT,BSU00560,repression,tepA,BSU16790
SpoVT Regulon,SpoVT,BSU00560,activation,spoVAF,BSU23390
SpoVT Regulon,SpoVT,BSU00560,repression,gerAA,BSU33050
SpoVT Regulon,SpoVT,BSU00560,repression,ylzJ,BSU16799
SpoVT Regulon,SpoVT,BSU00560,repression,yqjC,BSU23930
SpoVT Regulon,SpoVT,BSU00560,activation,ylyA,BSU15440
SpoVT Regulon,SpoVT,BSU00560,repression,gerAB,BSU33060
SpoVT Regulon,SpoVT,BSU00560,repression,sspE,BSU08660
SpoVT Regulon,SpoVT,BSU00560,activation,yteA,BSU30840
SpoVT Regulon,SpoVT,BSU00560,activation,lysA,BSU23380
SpoVT Regulon,SpoVT,BSU00560,repression,gerKB,BSU03720
SpoVT Regulon,SpoVT,BSU00560,activation,spoVAA,BSU23440
SpoVT Regulon,SpoVT,BSU00560,repression,ykoS,BSU13380
SpoVT Regulon,SpoVT,BSU00560,activation,sspA,BSU29570
SpoVT Regulon,SpoVT,BSU00560,repression,gerKC,BSU03710
SpoVT Regulon,SpoVT,BSU00560,activation,spoVAEB,BSU23402
SpoVT Regulon,SpoVT,BSU00560,repression,ybxH,BSU02080
SpoVT Regulon,SpoVT,BSU00560,activation,sspB,BSU09750
SpoVT Regulon,SpoVT,BSU00560,activation,sspD,BSU13470
SpoVT Regulon,SpoVT,BSU00560,repression,gdh,BSU03930
SpoVT Regulon,SpoVT,BSU00560,activation,spoVAD,BSU23410
SpoVT Regulon,SpoVT,BSU00560,repression,fabL,BSU08650
SpoVT Regulon,SpoVT,BSU00560,repression,gerKA,BSU03700
SpoVT Regulon,SpoVT,BSU00560,repression,csgA,BSU02070
SpoVT Regulon,SpoVT,BSU00560,repression,spoIIP,BSU25530
