regulator	target_candidate	ortholog_module_status	ME	PE
b0683	b0001	0	0	0
b0683	b0002	1	0	0
b0683	b0003	0	0	0
b0683	b0004	1	0	0
b0683	b0005	0	0	0
b0683	b0006	1	0	0
b0683	b0007	1	0	0
b0683	b0008	1	0	0
b0683	b0009	0	0	0
b0683	b0010	0	0	0
b0683	b0011	0	0	0
b0683	b0013	0	0	0
b0683	b0014	1	0	0
b0683	b0015	1	0	0
b0683	b0016	0	0	0
b0683	b0018	0	0	0
b0683	b0019	0	0	0
b0683	b0020	0	0	0
b0683	b0021	0	0	0
b0683	b0022	0	0	0
b0683	b0023	1	0	0
b0683	b0025	1	0	0
b0683	b0026	1	0	0
b0683	b0027	1	0	0
b0683	b0028	1	0	0
b0683	b0029	1	0	0
b0683	b0030	0	0	0
b0683	b0031	1	0	0
b0683	b0032	1	0	0
b0683	b0033	1	0	0
b0683	b0034	0	0	0
b0683	b0035	0	0	0
b0683	b0036	0	0	0
b0683	b0037	0	0	0
b0683	b0038	0	0	0
b0683	b0039	1	0	0
b0683	b0040	0	0	0
b0683	b0041	1	0	0
b0683	b0042	1	0	0
b0683	b0043	1	0	0
b0683	b0044	0	0	0
b0683	b0045	1	0	0
b0683	b0046	1	0	0
b0683	b0047	1	0	0
b0683	b0048	1	0	0
b0683	b0049	1	0	0
b0683	b0050	1	0	0
b0683	b0051	1	0	0
b0683	b0052	1	0	0
b0683	b0053	1	0	0
b0683	b0054	1	0	0
b0683	b0055	1	0	0
b0683	b0058	1	0	0
b0683	b0059	1	0	0
b0683	b0060	1	0	0
b0683	b0061	1	0	0
b0683	b0062	0	0	0
b0683	b0063	0	0	0
b0683	b0064	0	0	0
b0683	b0065	1	0	0
b0683	b0066	0	0	0
b0683	b0067	0	0	0
b0683	b0068	1	0	0
b0683	b0069	0	0	0
b0683	b0070	0	0	0
b0683	b0071	1	0	0
b0683	b0072	1	0	0
b0683	b0073	1	0	0
b0683	b0074	1	0	0
b0683	b0075	0	0	0
b0683	b0076	1	0	0
b0683	b0077	1	0	0
b0683	b0078	1	0	0
b0683	b0080	1	0	0
b0683	b0081	1	0	0
b0683	b0082	1	0	0
b0683	b0083	1	0	0
b0683	b0084	1	0	0
b0683	b0085	1	0	0
b0683	b0086	1	0	0
b0683	b0087	1	0	0
b0683	b0088	1	0	0
b0683	b0089	1	0	0
b0683	b0090	1	0	0
b0683	b0091	1	0	0
b0683	b0092	1	0	0
b0683	b0093	1	0	0
b0683	b0094	1	0	0
b0683	b0095	1	0	0
b0683	b0096	1	0	0
b0683	b0097	0	0	0
b0683	b0098	1	0	0
b0683	b0099	1	0	0
b0683	b0101	1	0	0
b0683	b0102	0	0	0
b0683	b0103	1	0	0
b0683	b0104	0	0	0
b0683	b0106	0	0	0
b0683	b0107	0	0	0
