regulator	target_candidate	ortholog_module_status	ME	PE
BSU23520	BSU00010	1	0	0
BSU23520	BSU00020	1	0	0
BSU23520	BSU00030	1	0	0
BSU23520	BSU00040	1	0	0
BSU23520	BSU00050	0	0	0
BSU23520	BSU00060	1	0	0
BSU23520	BSU00070	1	0	0
BSU23520	BSU00080	0	0	0
BSU23520	BSU00090	1	0	0
BSU23520	BSU00100	1	0	0
BSU23520	BSU00110	1	0	0
BSU23520	BSU00120	1	0	0
BSU23520	BSU00130	1	0	0
BSU23520	BSU00140	1	0	0
BSU23520	BSU00150	0	0	0
BSU23520	BSU00160	0	0	0
BSU23520	BSU00170	0	0	0
BSU23520	BSU00180	1	0	0
BSU23520	BSU00190	1	0	0
BSU23520	BSU00200	1	0	0
BSU23520	BSU00210	1	0	0
BSU23520	BSU00220	1	0	0
BSU23520	BSU00230	0	0	0
BSU23520	BSU00240	0	0	0
BSU23520	BSU00250	1	0	0
BSU23520	BSU00260	1	0	0
BSU23520	BSU00270	1	0	0
BSU23520	BSU00280	1	0	0
BSU23520	BSU00290	1	0	0
BSU23520	BSU00300	0	0	0
BSU23520	BSU00310	1	0	0
BSU23520	BSU00320	1	0	0
BSU23520	BSU00330	1	0	0
BSU23520	BSU00340	1	0	0
BSU23520	BSU00350	1	0	0
BSU23520	BSU00360	1	0	0
BSU23520	BSU00370	1	0	0
BSU23520	BSU00380	1	0	0
BSU23520	BSU00390	1	0	0
BSU23520	BSU00400	1	0	0
BSU23520	BSU00410	1	0	0
BSU23520	BSU00420	1	0	0
BSU23520	BSU00430	0	0	0
BSU23520	BSU00440	1	0	0
BSU23520	BSU00450	0	0	0
BSU23520	BSU00460	1	0	0
BSU23520	BSU00470	1	0	0
BSU23520	BSU00480	1	0	0
BSU23520	BSU00490	1	0	0
BSU23520	BSU00500	1	0	0
BSU23520	BSU00510	1	0	0
BSU23520	BSU00520	1	0	0
BSU23520	BSU00530	1	0	0
BSU23520	BSU00540	0	0	0
BSU23520	BSU00550	1	0	0
BSU23520	BSU00560	0	0	0
BSU23520	BSU00570	1	0	0
BSU23520	BSU00580	0	0	0
BSU23520	BSU00590	1	0	0
BSU23520	BSU00600	0	0	0
BSU23520	BSU00610	0	0	0
BSU23520	BSU00620	1	0	0
BSU23520	BSU00630	1	0	0
BSU23520	BSU00640	0	0	0
BSU23520	BSU00650	0	0	0
BSU23520	BSU00660	0	0	0
BSU23520	BSU00670	1	0	0
BSU23520	BSU00680	0	0	0
BSU23520	BSU00690	1	0	0
BSU23520	BSU00700	1	0	0
BSU23520	BSU00710	1	0	0
BSU23520	BSU00720	0	0	0
BSU23520	BSU00730	1	0	0
BSU23520	BSU00740	1	0	0
BSU23520	BSU00750	1	0	0
BSU23520	BSU00760	0	0	0
BSU23520	BSU00770	1	0	0
BSU23520	BSU00780	1	0	0
BSU23520	BSU00790	1	0	0
BSU23520	BSU00800	0	0	0
BSU23520	BSU00810	1	0	0
BSU23520	BSU00820	1	0	0
BSU23520	BSU00830	1	0	0
BSU23520	BSU00840	1	0	0
BSU23520	BSU00850	1	0	0
BSU23520	BSU00860	1	0	0
BSU23520	BSU00870	1	0	0
BSU23520	BSU00880	0	0	0
BSU23520	BSU00890	1	0	0
BSU23520	BSU00900	1	0	0
BSU23520	BSU00910	1	0	0
BSU23520	BSU00920	1	0	0
BSU23520	BSU00930	1	0	0
BSU23520	BSU00940	1	0	0
BSU23520	BSU00950	1	0	0
BSU23520	BSU00960	1	0	0
BSU23520	BSU00970	1	0	0
BSU23520	BSU00980	1	0	0
BSU23520	BSU00990	1	0	0
BSU23520	BSU01000	1	0	0
BSU23520	BSU01010	1	0	0
BSU23520	BSU01020	1	0	0
BSU23520	BSU01030	1	0	0
BSU23520	BSU01040	1	0	0
BSU23520	BSU01050	1	0	0
BSU23520	BSU01060	1	0	0
BSU23520	BSU01070	1	0	0
BSU23520	BSU01080	1	0	0
BSU23520	BSU01090	0	0	0
BSU23520	BSU01100	1	0	0
BSU23520	BSU01110	1	0	0
BSU23520	BSU01120	1	0	0
BSU23520	BSU01130	1	0	0
BSU23520	BSU01140	0	0	0
BSU23520	BSU01150	1	0	0
BSU23520	BSU01160	1	0	0
BSU23520	BSU01170	1	0	0
BSU23520	BSU01180	1	0	0
BSU23520	BSU01190	1	0	0
BSU23520	BSU01200	1	0	0
BSU23520	BSU01210	1	0	0
BSU23520	BSU01220	1	0	0
BSU23520	BSU01230	1	0	0
BSU23520	BSU01240	1	0	0
BSU23520	BSU01250	1	0	0
BSU23520	BSU01260	1	0	0
BSU23520	BSU01270	1	0	0
BSU23520	BSU01280	1	0	0
BSU23520	BSU01290	1	0	0
BSU23520	BSU01300	1	0	0
BSU23520	BSU01310	1	0	0
BSU23520	BSU01320	1	0	0
BSU23520	BSU01330	1	0	0
BSU23520	BSU01340	1	0	0
BSU23520	BSU01350	1	0	0
BSU23520	BSU01360	1	0	0
BSU23520	BSU01370	1	0	0
BSU23520	BSU01380	1	0	0
BSU23520	BSU01389	0	0	0
BSU23520	BSU01390	1	0	0
BSU23520	BSU01400	1	0	0
BSU23520	BSU01410	1	0	0
BSU23520	BSU01420	1	0	0
BSU23520	BSU01430	1	0	0
BSU23520	BSU01440	1	0	0
BSU23520	BSU01450	1	0	0
BSU23520	BSU01460	1	0	0
BSU23520	BSU01470	1	0	0
BSU23520	BSU01480	1	0	0
BSU23520	BSU01490	1	0	0
BSU23520	BSU01500	1	0	0
BSU23520	BSU01510	0	0	0
BSU23520	BSU01520	0	0	0
BSU23520	BSU01530	0	0	0
BSU23520	BSU01540	1	0	0
BSU23520	BSU01550	0	0	0
BSU23520	BSU01560	0	0	0
BSU23520	BSU01570	0	0	0
BSU23520	BSU01580	0	0	0
BSU23520	BSU01590	0	0	0
BSU23520	BSU01600	0	0	0
BSU23520	BSU01610	1	0	1
BSU23520	BSU01620	0	0	0
BSU23520	BSU01630	0	1	0
BSU23520	BSU01640	1	1	0
BSU23520	BSU01650	0	0	0
BSU23520	BSU01660	1	0	0
BSU23520	BSU01670	1	0	0
BSU23520	BSU01680	0	0	0
BSU23520	BSU01690	1	0	0
BSU23520	BSU01700	0	0	0
BSU23520	BSU01710	0	0	0
BSU23520	BSU01720	1	0	0
BSU23520	BSU01730	0	0	0
BSU23520	BSU01740	0	0	0
BSU23520	BSU01750	1	0	0
BSU23520	BSU01760	1	0	0
BSU23520	BSU01770	1	0	0
BSU23520	BSU01780	1	0	0
BSU23520	BSU01800	0	0	0
BSU23520	BSU01810	1	0	0
BSU23520	BSU01820	1	0	0
BSU23520	BSU01830	0	0	0
BSU23520	BSU01845	0	0	0
BSU23520	BSU01860	0	0	0
BSU23520	BSU01870	0	0	0
BSU23520	BSU01880	0	0	0
BSU23520	BSU01889	0	0	0
BSU23520	BSU01890	0	0	0
BSU23520	BSU01900	0	0	0
BSU23520	BSU01910	0	0	0
BSU23520	BSU01920	0	0	0
BSU23520	BSU01935	0	0	0
BSU23520	BSU01950	0	0	0
BSU23520	BSU01960	0	0	0
BSU23520	BSU01970	0	0	0
BSU23520	BSU01980	0	0	0
BSU23520	BSU01990	0	0	0
BSU23520	BSU02000	0	0	0
BSU23520	BSU02010	0	0	0
