regulator	target_candidate	ortholog_module_status	ME	PE
b4043	b0001	0	0	0
b4043	b0002	1	0	0
b4043	b0003	0	0	0
b4043	b0004	1	0	0
b4043	b0005	0	0	0
b4043	b0006	1	0	0
b4043	b0007	1	0	0
b4043	b0008	1	0	0
b4043	b0009	0	0	0
b4043	b0010	0	0	0
b4043	b0011	0	0	0
b4043	b0013	0	0	0
b4043	b0014	1	0	0
b4043	b0015	1	0	0
b4043	b0016	0	0	0
b4043	b0018	0	0	0
b4043	b0019	0	0	0
b4043	b0020	0	0	0
b4043	b0021	0	0	0
b4043	b0022	0	0	0
b4043	b0023	1	0	0
b4043	b0025	1	0	0
b4043	b0026	1	0	0
b4043	b0027	1	0	0
b4043	b0028	1	0	0
b4043	b0029	1	0	0
b4043	b0030	0	0	0
b4043	b0031	1	0	1
b4043	b0032	1	0	0
b4043	b0033	1	0	0
b4043	b0034	0	0	0
b4043	b0035	0	0	0
b4043	b0036	0	0	0
b4043	b0037	0	0	0
b4043	b0038	0	0	0
b4043	b0039	1	0	0
b4043	b0040	0	0	0
b4043	b0041	1	0	0
b4043	b0042	1	0	0
b4043	b0043	1	0	0
b4043	b0044	0	0	0
b4043	b0045	1	0	0
b4043	b0046	1	0	0
b4043	b0047	1	0	0
b4043	b0048	1	0	0
b4043	b0049	1	0	0
b4043	b0050	1	0	0
b4043	b0051	1	0	0
b4043	b0052	1	0	0
b4043	b0053	1	0	0
b4043	b0054	1	0	0
b4043	b0055	1	0	0
b4043	b0058	1	0	0
b4043	b0059	1	0	0
b4043	b0060	1	1	0
b4043	b0061	1	0	0
b4043	b0062	0	0	0
b4043	b0063	0	0	0
b4043	b0064	0	0	0
b4043	b0065	1	0	0
b4043	b0066	0	0	0
b4043	b0067	0	0	0
b4043	b0068	1	0	0
b4043	b0069	0	0	0
b4043	b0070	0	0	0
b4043	b0071	1	0	0
b4043	b0072	1	0	0
b4043	b0073	1	0	0
b4043	b0074	1	1	0
b4043	b0075	0	1	0
b4043	b0076	1	0	0
b4043	b0077	1	0	0
b4043	b0078	1	0	0
b4043	b0080	1	0	0
b4043	b0081	1	0	0
b4043	b0082	1	0	0
b4043	b0083	1	0	0
b4043	b0084	1	0	0
b4043	b0085	1	0	0
b4043	b0086	1	0	0
b4043	b0087	1	0	0
b4043	b0088	1	0	0
b4043	b0089	1	0	0
b4043	b0090	1	0	0
b4043	b0091	1	0	0
b4043	b0092	1	0	0
b4043	b0093	1	0	0
b4043	b0094	1	0	0
b4043	b0095	1	0	0
b4043	b0096	1	0	0
b4043	b0097	0	0	0
b4043	b0098	1	0	0
b4043	b0099	1	0	0
b4043	b0101	1	0	0
b4043	b0102	0	0	0
b4043	b0103	1	0	0
b4043	b0104	0	0	0
b4043	b0106	0	0	0
b4043	b0107	0	0	0
b4043	b0108	1	0	0
b4043	b0109	1	0	0
b4043	b0110	1	0	0
b4043	b0111	0	0	0
b4043	b0112	1	0	0
b4043	b0113	1	0	0
b4043	b0114	1	0	0
b4043	b0115	1	0	0
b4043	b0116	1	0	0
b4043	b0117	0	0	0
b4043	b0118	1	0	0
b4043	b0119	0	0	0
b4043	b0120	1	0	0
b4043	b0121	1	0	0
b4043	b0122	0	0	0
b4043	b0123	1	0	0
b4043	b0124	1	0	0
b4043	b0125	0	0	0
b4043	b0126	1	0	0
b4043	b0127	1	0	0
b4043	b0128	1	0	0
b4043	b0129	0	0	0
b4043	b0130	0	0	0
b4043	b0131	1	0	0
b4043	b0132	0	0	0
b4043	b0133	1	0	0
b4043	b0134	1	0	0
b4043	b0135	0	0	0
b4043	b0136	0	0	0
b4043	b0137	0	0	0
b4043	b0138	0	0	0
b4043	b0139	1	0	0
b4043	b0140	1	0	0
b4043	b0141	0	0	0
b4043	b0142	1	0	0
b4043	b0143	1	0	0
b4043	b0144	1	0	0
b4043	b0145	1	0	0
b4043	b0146	1	0	0
b4043	b0147	1	0	0
b4043	b0148	1	0	0
b4043	b0149	1	0	0
b4043	b0150	1	0	0
b4043	b0151	0	0	0
b4043	b0152	0	0	0
b4043	b0153	0	0	0
b4043	b0154	1	0	0
b4043	b0155	0	0	0
b4043	b0156	1	0	0
b4043	b0157	0	0	0
b4043	b0158	1	0	0
b4043	b0159	0	0	0
b4043	b0160	1	0	0
b4043	b0161	1	0	0
b4043	b0162	1	0	0
b4043	b0163	0	0	0
b4043	b0164	0	0	0
b4043	b0166	0	0	0
b4043	b0167	1	0	0
b4043	b0168	1	0	0
b4043	b0169	1	0	0
b4043	b0170	1	0	0
b4043	b0171	1	0	0
b4043	b0172	1	0	0
b4043	b0173	1	0	0
b4043	b0174	1	0	0
b4043	b0175	1	1	0
b4043	b0176	1	0	0
b4043	b0177	1	0	0
b4043	b0178	0	0	0
b4043	b0179	1	0	0
b4043	b0180	1	0	0
b4043	b0181	1	0	0
b4043	b0182	1	0	0
b4043	b0183	1	0	0
b4043	b0184	1	0	0
b4043	b0185	1	0	0
b4043	b0186	0	0	0
b4043	b0187	0	0	0
b4043	b0188	1	0	0
b4043	b0189	0	0	0
b4043	b0190	1	0	0
b4043	b0191	1	0	0
b4043	b0192	0	0	0
b4043	b0193	0	0	0
b4043	b0194	1	0	0
b4043	b0195	1	0	0
b4043	b0196	0	0	0
b4043	b0197	1	0	0
b4043	b0198	1	0	0
b4043	b0199	1	0	0
b4043	b0200	1	0	0
b4043	b0207	1	0	0
b4043	b0208	1	0	0
b4043	b0209	0	0	0
b4043	b0210	1	0	0
b4043	b0211	1	0	0
b4043	b0212	1	0	0
b4043	b0213	1	0	0
b4043	b0214	1	0	0
b4043	b0215	1	0	0
b4043	b0217	0	0	0
b4043	b0218	0	0	0
b4043	b0219	1	0	0
b4043	b0220	1	0	0
b4043	b0221	1	0	0
b4043	b0222	0	0	0
b4043	b0223	1	0	0
b4043	b0224	1	0	0
b4043	b0225	0	1	0
b4043	b0226	0	1	0
b4043	b0227	1	1	0
b4043	b0228	1	0	0
b4043	b0229	0	0	0
b4043	b0230	0	0	0
b4043	b0231	1	0	0
b4043	b0232	0	0	0
b4043	b0233	0	0	0
